before,after
ea,iya
krjx,kerjanya
krjax,kerjanya
krja,kerja
d,di
x,nya
ttpi,tetapi
msak,masak
mna,mana
jman,jaman
jln,jalan
hnya,hanya
sma,sama
jk,jika
sp,sampai
spai,sampai
hrus,harus
lbih,lebih
emng,emang
emgnya,emangnya
puxa,punya
btul,betul
skli,sekali
ntr,nanti
bg,bang
klau,kalau
hrs,harus
tmbh,tambah
rp,rupiah
brrti,berarti
idup,hidup
q,aku
gmn,gimana
setujuuuuuuuuu,setuju
ituu,itu
dluu,dulu
dl,dulu
jngan,jangan
tu,itu
idonesia,indonesia
jd,jadi
kebykan,kebanyakan
kg,kilogram
g,tidak
iy,iya
tp,tapi
dpt,dapat
dg,dengan
dapt,dapat
setujuuuuu,setuju
mslh,masalah
msk,masak
negri,negeri
t,tapi
kk,kakak
ngab,bang
brapa,berapa
ad,ada
bngt,banget
ma,sama
copid,covid
zehat,sehat
pk,bapak
pak,bapak
jmn,jaman
dluan,duluan
skrng,sekarang
sblum,sebelum
knyng,kenyang
rwmu,wajahmu
engga,tidak
true,benar
truee,benar
brp,berapa
ntar,nanti
sendri,sendiri
apaan,apa
aq,saya
hrga,harga
hrg,harga
kl,kalau
tak,tidak
mbk,mbak
k,ke
lg,lagi
m,sama
kcuali,kecuali
kt,kita
slalu,selalu
yah,iya
mnta,minta
tmen,teman
aja,saja
mksud,maksud
smw,semua
bro,bang
tk,tidak
spendapat,sependapat
tenaaang,tenang
jkwi,jokowi
priode,periode
owi,jokowi
kaouta,kuota
den,presiden
koen,kamu
dewe,sendiri
jaluk,minta
kate,mau
jonk,jokowi
aj,aja
blum,belum
yntkts,tidak tahu kok tanya saya
kembalkah,kembali
maunyaa,maunya
korup,koruptor
terbaekkkkkk,terbaik
jau,jauh
olloh,allah
gtu,gitu
pke,pakai
bkin,membuat
dinikmatin,dinikmati
cma,cuma
cukp,cukup
ckp,cukup
ckup,cukup
bli,beli
minyk,minyak
litr,liter
amiin,amin
koq,kok
lo,kamu
ajja,aja
tw,tau
brangkt,berangkat
masok,masuk
doang,hanya
iaa,iya
buk,ibu
dripda,dari pada
dogeng,dongeng
jgm,jangan
bamnyak,banyak
kite,kita
mkn,makan
ky,kayak
klu,kalau
dr,dari
mmg,memang
kbijkan,kebijakan
mampussseeehheeehheeeeesaya,mampus
mabil,mobil
kecewaaa,kecewa
th,tahu
tept,tepat
br,baru
yh,iya
sellu,selalu
dn,dan
km,kamu
itung,hitung
emang,memang
lht,lihat
ngegaz,ngegas
yaaa,iya
trima,terima
allh,allah
smg,semoga
pd,pada
smakin,semakin
pntas,pantas
bgt,banget
ampe,sampai
kya,kayak
ngaruh,pengaruh
ama,sama
ndak,tidak
pa,apa
oiii,iya
lek,kalau
mcm,macam
jga,juga
donk,dong
siip,sip
mu,kamu
yy,iya
kakean,kebanyakan
sj,saja
inga,ingat
ko,kamu
cpk,capek
ra,tidak
maslah,masalah
up,naik
tul,betul
mreka,mereka
brusha,berusaha
by,sby
dah,sudah
kpd,kepada
dbrikan,diberikan
se,setuju
dll,dan lain lain
kalao,kalau
kgak,tidak
gmna,bagaimana
cebi,coba
lsg,langsung
koropsi,korupsi
oon,bodoh
kalo,kalau
epeknya,efeknya 
bnyk,banyak 
kec,kecamatan
ramadhon,ramadhan
nnt,nanti
kga,tidak
cucok,cocok
byk,banyak
indo,indonesia
sperti,seperti
kmi,kami
remek,hancur
prett,tidak percaya
jelad,jelas
bwa,bawa
ingt,ingat
drimu,kamu
tinggalno,tinggalkan
timoer,timur
tgk,tegak
kesian,kasian
betol,betul
sono,sana
nt,percobaan bagus
imoet,imut
sodaranya,saudaranya
sodara,saudara
ws,sudah
cs,kawan
terjangko,terjangkau
maap,maaf
psti,pasti
yt,youtube
spt,seperti
p,pak
liat,lihat
hsil,hasil
setu,setuju
gabakal,tidak mungkin
ati,hati
hr,hari
